country,10^8,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
United_States_of_America,USA,128371,130664,134332,139417,144081,147923,150554,150115,145948,149644,152040,155422,158029,162089,166727,169203
China,CHN,24236.5,26449.5,29103.8,32046.6,35698.5,40239.2,45965.8,50403.5,55141.3,61006.2,66824,72073.9,77665.1,83332.9,89083,95042.1
Germany,DEU,31768.7,31768.7,31543.2,31912.2,32137.8,33326.9,34413.6,34786,32831.4,34170.9,35421.6,35595.9,35770.1,36460.4,37096,37817
United_Kingdom,GBR,21485.1,22013.2,22745.3,23283.1,24004,24593.5,25173.1,25054.2,24005,24411.7,24766.3,25133.2,25649,26432.4,27052.5,27576.2
Japan,JPN,53706.6,53770,54591.8,55795.4,56723.1,57528.6,58480.3,57840.8,54707.5,57001,56935.2,57786.4,58942.3,59163.2,59964.1,60526.7
France,FRA,23923.4,24191,24389.3,25068.9,25471.9,26076.8,26692.6,26744.8,25958.1,26468.4,27018.7,27068.1,27224,27482,27775.4,28105.3
Korea_Republic_of,KOR,7421.66,7973.27,8207.15,8609.28,8947.08,9410.2,9924.32,10205.1,10277.3,10945,11348,11608.1,11944.3,12343.4,12687.8,13046.6
Italy,ITA,20967.2,21019.3,21051.1,21384.1,21587.2,22020.4,22344.9,22110.2,20898.1,21250.6,21373.1,20770.6,20411.7,20434.9,20629.4,20806.4
Canada,CAN,13665.1,14076.5,14330.2,14772.4,15245.3,15645.3,15968,16127.7,15652,16134.6,16641.5,16931.9,17351,17846.5,18025.1,18280
Netherlands,NLD,7503.01,7510.79,7532.11,7685.07,7851.09,8127.35,8427.93,8571.13,8248.2,8363.9,8503.04,8413.16,8397.15,8516.36,8708.9,8901.36
Mexico,MEX,8755.38,8766.93,8891.66,9273.62,9554.85,10027.3,10348.6,10493.5,10000.3,10511.3,10936.4,11375.9,11530.6,11792.3,12104.8,12381.5
Belgium,BEL,4151.39,4225.3,4258.03,4412.8,4505.21,4618.12,4777.4,4814.81,4706.33,4835.48,4922.44,4933.99,4943.89,5010.71,5081.08,5155.57
India,IND,8414.79,8734.89,9421.49,10167.9,11112,12141.4,13331.5,13850.2,15024.6,16566.2,17665.9,18629.8,19819.5,21307,23013.7,24649.3
Spain,ESP,11954.8,12299.1,12691.2,13093,13580.5,14147.4,14680.6,14844.7,14314.2,14316.2,14173.2,13758.2,13523.6,13710.2,14180.7,14645.1
Singapore,SGP,1332.11,1388.21,1449.78,1588.22,1707.17,1858.43,2027.76,2064.01,2051.55,2364.22,2511.38,2608.6,2739.06,2836.91,2891.74,2949.47
Switzerland,CHE,4935.43,4943.45,4945.41,5082.7,5241.04,5450.09,5674.19,5796.45,5667.65,5837.83,5936.65,5996.38,6107.43,6257.02,6333.75,6420.9
Turkey,TUR,4898.71,5213.71,5506.11,6037.14,6581.07,7048.97,7403.56,7466.14,7114.9,7718.77,8576.59,8987.41,9750.56,10254.3,10878.4,11224.8
Thailand,THA,2252.11,2390.59,2562.45,2723.61,2837.67,2978.65,3140.54,3194.74,3172.67,3411.05,3439.7,3688.84,3789.63,3824.29,3936.77,4064.24
Australia,AUS,8633.62,8966.27,9241.38,9624.5,9932.83,10228.6,10612.2,11004.6,11204,11428.8,11700,12125.2,12436.8,12761.3,13070.3,13431.8
Poland,POL,3302.31,3369.73,3489.77,3668.99,3797.18,4031.83,4315.46,4498.85,4625.73,4792.58,5033.03,5113.96,5185.14,5355.38,5561.27,5720.56
Russian_Federation,RUS,10000.1,10474.5,11238.7,12045.2,12813.2,13857.9,15040.7,15830,14592,15249.2,16055.1,16642,16939.1,17064.3,16581.6,16544.3
Malaysia,MYS,1633.63,1721.7,1821.36,1944.91,2048.62,2163.03,2366.95,2445.53,2383.76,2550.17,2685.17,2832.14,2965.07,3143.18,3301.22,3440.52
Austria,AUT,3420.28,3476.92,3503.21,3598,3675.02,3798.16,3935.71,3996.61,3844.77,3918.93,4033.47,4060.92,4061.95,4095.61,4140.33,4200.4
Czech_Republic,CZE,1562.59,1588.41,1645.64,1726.39,1839.18,1965.23,2075.34,2131,2028.66,2074.78,2111.66,2094.77,2084.64,2141.24,2254.93,2313.4
Sweden,SWE,4027.27,4110.78,4208.85,4390.7,4514.44,4726.08,4887,4859.78,4607.82,4883.78,5013.9,4999.54,5061.6,5193.42,5428.26,5603.87
Brazil,BRA,15600.9,16077.3,16260.7,17197.3,17748,18451.2,19571.1,20568.1,20542.2,22088.7,22966.6,23407.8,24111.2,24232.7,23319.3,22481.1
Indonesia,IDN,4699.34,4910.78,5145.53,5404.4,5712.05,6026.27,6408.63,6794.03,7108.52,7550.94,8016.82,8500.24,8972.62,9421.85,9881.28,10376.9
Hungary,HUN,1112.3,1162.67,1207.42,1267.85,1323.49,1374.46,1380.43,1392.24,1300.35,1309.23,1330.98,1309.11,1336.55,1393.05,1439.96,1471.83
Philippines,PHL,1289.76,1336.78,1403.22,1497.21,1568.74,1650.99,1760.23,1833.32,1854.38,1995.91,2068.95,2207.24,2363.16,2508.38,2660.55,2844.77
Denmark,DNK,3006.76,3020.78,3032.56,3113.48,3186.23,3310.91,3341.01,3323.9,3160.81,3219.95,3263,3270.39,3300.91,3354.36,3408.26,3475.2
Ireland,IRL,1728.98,1838.07,1895.41,2022.04,2143.49,2261.85,2379.66,2286,2180.23,2219.51,2285.76,2286.61,2324.09,2517.65,3161.09,3323.61
Slovakia,SVK,573.2628883,599.1903778,631.6588022,664.8767053,709.7622712,769.7576793,852.888253,900.9039769,852.0520776,895.0101292,920.2413554,935.4911229,949.435988,975.5486585,1013.11,1046.79
South_Africa,ZAF,2742.59,2843.19,2927.03,3060.35,3221.84,3402.39,3584.77,3699.16,3642.26,3752.98,3876.24,3962.03,4060.65,4129.67,4183.31,4194.99
Romania,ROU,1161.33,1221.53,1289.02,1396.76,1455.03,1572.24,1680.16,1822.28,1693.5,1679.98,1697.73,1708.61,1768.95,1823.37,1895.82,1982.83
Norway,NOR,3746.08,3799.93,3834.89,3986.71,4091.35,4189.34,4314.4,4335.14,4261.83,4291.31,4333.02,4450.95,4497.43,4586.26,4676.62,4727.66
Portugal,PRT,2256.73,2274.08,2252.84,2293.65,2311.24,2347.13,2405.62,2410.42,2338.63,2383.03,2339.5,2245.26,2219.88,2239.71,2280.52,2317.45
Israel,ISR,1738.49,1741.3,1754.67,1834.85,1910.69,2010.26,2126.32,2189.86,2220.12,2336.1,2444.91,2492.4,2594.87,2683.35,2764.87,2878.08
Finland,FIN,2147.83,2183.92,2227.47,2314.92,2379.28,2475.76,2604.12,2622.89,2406,2478,2541.7,2505.45,2486.46,2470.75,2474.09,2526.92
Chile,CHL,1492.98,1539.37,1602.35,1717.87,1816.52,1931.28,2026.01,2097.52,2064.71,2185.38,2318.92,2442.26,2541.05,2589.57,2647.9,2689.98
Greece,GRC,2619.01,2721.75,2879.47,3025.2,3043.32,3215.34,3320.61,3309.48,3167.14,2993.62,2720.22,2521.63,2439.9,2457.95,2450.8,2444.81
Colombia,COL,1957.21,2006.22,2084.83,2196.01,2299.37,2453.37,2622.67,2715.69,2760.54,2870.18,3059.31,3183.03,3338.17,3484.84,3591.2,3661.59
New_Zealand,NZL,1178.25,1233.27,1289.48,1340.38,1384.63,1423.46,1464.56,1448.16,1443.76,1465.81,1499.08,1532.75,1570.3,1623.76,1663.25,1714.05
Peru,PER,863.2860504,910.3656049,948.282543,995.3003185,1057.86,1137.5,1234.4,1347.06,1361.82,1475.29,1568.63,1664.94,1762.38,1803.88,1862.52,1934.84
