United_States_of_America,China,Germany,United_Kingdom,Japan,France,Korea__Republic_of,Italy,Canada,Netherlands,Mexico,Belgium,India,Spain,Singapore,Switzerland,Turkey,Thailand,Australia,Poland,Russian_Federation,Malaysia,Austria,Czech_Republic,Sweden,Brazil,Indonesia,Hungary,Philippines,Denmark,Ireland,Slovakia,South_Africa,Romania,Norway,Portugal,Israel,Finland,Chile,Greece,Colombia,New_Zealand,Peru,Slovenia,Bulgaria,Belarus,Lithuania,Kazakhstan,Croatia,Sri_Lanka,Tunisia,Luxembourg,Dominican_Republic,Guatemala,Ethiopia,Ecuador,Estonia,Costa_Rica,Uruguay,Tanzania__United_Republic_of
0,160064514,66753018,58616732,73045283,41858288,45531184,16571634,251814356,36214005,195857558,33275899,20439727,13681326,37902802,21316869,12727960,14675262,24148859,5386900,18594395,16009272,3861374,3724819,4083123,35318307,8188542,2019512,5996959,2751958,7706127,918564,6595504,905016,5531215,1235500,8564065,2841266,14223647,664794,18256281,4932306,8802429,428857,371500,78030,425265,1993064,203575,493224,720276,1636155,7273141,7357977,654989,7692957,377628,7632681,1011168,369836
486296238,0,107593170,64147254,181294159,56416480,90071153,33305149,53066196,47026706,66255965,18108907,58230546,26227845,44418932,13284726,24918224,38498345,46854594,22992572,50853010,35322309,6418910,17426277,7292223,37344986,30624380,5140097,10283721,7113521,4467295,6676017,15449362,3149705,8484222,2123608,5994138,4950628,14993983,3313758,11790385,7199913,8924520,1502754,1147400,947958,884212,7357220,588802,3414298,1782594,514021,2057628,1796889,5018119,4614573,1506153,1715660,1989445,2046634
125532375,105012760,0,100307056,24121796,112991127,21285205,72235117,14436100,83336333,13762327,59552294,12706867,42444332,10647100,59376749,22369476,5913348,10706488,47026899,32947335,7083009,74055799,40154997,28258008,13837993,4091179,26343463,2749322,20267379,5640601,12750248,10003242,14871053,10566333,9654866,4651256,10168289,2615818,6176952,2530978,2044023,1477217,5500141,4254707,2410804,3845123,2314624,3463093,327234,1739941,5719654,287607,273340,363645,657452,2043328,360603,436901,248136
55316559,23726733,51158697,0,6384288,26020528,7441595,13656213,8323162,33764989,2513361,22140231,4791111,14671870,6191887,33710367,5932227,2782346,5484532,5483481,7777965,2171451,2785954,3282494,10046504,3257801,894761,1798762,409914,4714837,22897850,991274,3271703,1770470,5787191,2413907,2334551,2366945,846504,1591157,598481,1103984,329648,407783,589249,92621,1428212,578863,291934,290693,330979,391272,163967,46974,167608,211044,661579,102048,81004,262969
137503838,162920512,26506351,10491214,0,10361847,53775887,3590569,12046255,11055993,17544577,7357522,9963998,3510972,20119357,3985161,3199915,35710527,15478595,3123992,10917410,16731372,1034654,2548899,1455618,5901376,17007579,1232289,5538671,403477,2332843,1047756,3777364,308305,2020254,336113,1294013,879154,2295844,266034,1525446,2833474,1105000,95162,111267,88484,35612,924773,26862,941086,269736,311606,352603,255613,569356,878833,344851,475324,78960,559409
47750027,27074420,88658332,43522747,11469357,0,6824708,40912571,5390799,22973618,3791300,46132438,3383506,38490084,8106878,18116604,8122571,2438143,3830336,8068018,10551969,3812988,4747811,4924351,7228644,5707607,1335158,4938424,2338235,3045204,3350559,2531753,2207204,4419815,3071428,5552049,1561079,2428355,2267955,2815091,1853550,971715,346819,1108669,1052550,200539,977162,1085512,531106,162924,4044975,3371481,155522,78240,120294,240252,439891,105797,180220,72551
71745454,190108773,10661829,6200577,33385307,4030027,0,3111737,6551468,4223868,13771522,2840150,13437254,2201980,21600975,690126,7548319,8540372,10614475,4322772,8972462,9667998,782576,3110986,887122,8525813,11847411,1425781,5234082,2079590,640124,5920093,1543444,625131,1543223,368454,1354780,588625,2306100,1953863,1500478,1904064,1381737,1562576,108127,62699,423269,1066994,104477,413783,270437,137058,248641,439818,215640,943739,145361,326413,214735,163350
43360963,19284885,64482805,28456784,8607391,48092634,6261237,0,5807776,10722656,5219400,15727118,4334627,20633652,4139871,22594137,12059098,2269845,5447722,11393121,12683365,1781946,11446534,6331813,4904025,6322165,1723009,4638678,379229,3588496,1219197,2752391,2642851,8445309,2731874,4082562,2784123,1921058,1269516,4672065,982272,771015,645824,4892193,2441049,670242,1728745,1039383,3262617,265011,3634615,624186,226581,143004,472104,374168,555229,206516,170749,79658
354171825,25182010,4807944,13733559,11250091,3960849,5442723,3301107,0,1793294,10044921,3554920,3747636,1342308,1179915,1562201,1107270,919587,1835920,406657,1496715,919524,392736,172855,401759,2713272,1860198,132209,336115,357092,474149,66224,420740,76853,2338256,236592,373101,410236,1266797,122293,1164632,431283,853531,96320,43155,17256,54030,177543,16123,309086,126804,160979,275235,77659,52045,336030,29361,186720,44242,123713
21580663,9340126,116719333,53552199,4295147,28462992,4580225,27646621,3332214,0,3688029,90435664,2782977,14061349,4705698,6088657,3517164,1039733,1762836,8060601,5264873,2511507,7131307,5178693,12800147,3168111,908269,4239116,388616,7473945,3502629,1012201,1444136,2899986,3306211,4053499,2416737,3943813,461805,3080465,294209,380165,161387,1054663,952359,452772,1683373,308725,787778,83585,246159,942865,88419,108391,123790,373605,843682,115858,46916,176504
